#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
806,14,https://www.iii.org/insuranceindustryblog/2012-cat-losses-dominated-by-u-s-weather-events/,"2012 Cat Losses Dominated By U.S. Weather Events | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",242,5,https://www.swissre.com/media/news_releases/nr_20121219_sigma_natcat_estimates_2012.html,Dofollow,According to,Swiss Re sigma preliminary estimates,", insured losses arising from the catastrophic events of 2012",404,2020-04-10 18:24:19,2020-04-08T08:19:07Z,
807,14,https://www.iii.org/insuranceindustryblog/regulatory-change/,"Regulatory Change | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,7,https://www.treasury.gov/news/index1.html,Dofollow,eyes today will be on the news out of the,Treasury department,", where U.S. Treasury Secretary Henry Paulson is expected to",404,2020-04-04 02:21:30,2020-03-16T09:30:45Z,
808,14,https://www.iii.org/insuranceindustryblog/2010/07/page/2/,"July | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",274,71,http://www.namic.org/newsreleases10/100701nr1,Dofollow,,"Congress must not let the program lapse again, but thatÃ¢â‚¬â„¢s just the minimum. The best thing they can do is take this time to pass legislation that would implement common sense reforms and help the NFIP make the first steps towards financial soundness.Ã¢â‚¬ ",,404,2020-04-10 15:53:47,2020-04-08T22:12:46Z,
808,14,https://www.iii.org/insuranceindustryblog/2010/07/page/2/,"July | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",274,71,https://www.iihs.org/research/default.html,Dofollow,"Similarly, the",Insurance Institute for Highway Safety (IIHS),reports that July 4 is one of the days with,404,2020-03-19 12:08:17,2020-04-08T22:12:46Z,
809,14,https://www.iii.org/insuranceindustryblog/category/auto-insurance/page/8/,"Auto Insurance | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 8",253,26,https://www.jdpower.com/business/press-releases/2014-us-insurance-shopping-study,Dofollow,,"The insurance industry spends billions of dollars each year on advertising, and over the last seven years many of those ads have tried to entice customers with big savings. While switching to a new insurer usually results in savings, the ads make promises of savings that a growing number of new customers donÃ¢â‚¬â„¢t believe theyÃ¢â‚¬â„¢ve received.Ã¢â‚¬ ",,404,2020-03-17 20:46:43,2020-04-19T15:18:31Z,
810,14,https://www.iii.org/insuranceindustryblog/2017/08/page/2/,"August | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",258,54,https://www.swissre.com/media/news_releases/nr20170817_preliminary_sigma_estimates.html,Dofollow,"Kurt Karl, Swiss Re chief economist explains:","“Fortunately, in the U.S., most households and businesses are insured against wind risk so they are financially protected when severe storms strike.”",,404,2020-04-09 15:16:06,2020-04-19T13:38:59Z,
811,14,https://www.iii.org/press-release/2009-us-hurricane-season-was-calmest-in-12-years-120109,2009 U.S. Hurricane Season Was Calmest In 12 Years | III,64,12,https://www.swissre.com/pws/media centre/news/news_releases_2009/sigma_pre_nat_cat_manmade_30nov09.html,Dofollow,,Swiss Re,issued a study yesterday citing three separate events where U.S.,404,2020-04-10 01:08:08,2020-04-16T16:57:29Z,
812,14,https://www.iii.org/insuranceindustryblog/commentary-by-i-i-i-chief-actuary-published-in-law-review/,"Commentary by I.I.I. chief actuary published in law review | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,5,http://www.llinkedin.com/in/richardcarris,Nofollow,,Richard Carris,,Cannot resolve host,2020-03-26 03:03:39,2020-03-19T03:50:26Z,
813,14,https://www.iii.org/insuranceindustryblog/social-network-phishing-risk/,"Social Network Phishing Risk | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,10,http://blog.your-insurance-site.info/?p=976,Nofollow,Pingback:,The Lower New York Insurance Blog » Honor Roll: This Week’s Top Insurance Blogs (May 24-30),,Cannot resolve host,2020-04-04 05:19:16,2020-04-04T05:19:16Z,
814,14,https://www.iii.org/insuranceindustryblog/i-i-i-on-flood-insurance-time-to-act-is-now/,"I.I.I. on Flood Insurance: Time to Act is Now | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",240,12,http://www.multivu.com/mnr/61483-floodsmart-hurricane-season-is-just-one-month-away-flood-insurance,Dofollow,,"While coastal states have an increased risk of flooding during hurricane season, it is important to note that flood risks extend far beyond those areas. Some of the most severe flooding has occurred when the remnants of a hurricane or tropical storm system traveled inland, such as Hurricane Irene two years ago, producing heavy rainfall hundreds of miles from the coast. For this reason, it is ...",,404,2020-03-29 03:33:02,2020-03-24T02:43:46Z,
815,14,https://www.iii.org/insuranceindustryblog/2017/08/page/3/,"August | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",266,40,https://paymaster.co/wildfire-reality-check-thinking-about-recovery-both-financially-and-physically-before-a-wildfire-sparks-is-what-it-means-to-be-resilient/,Dofollow,wrote about what it takes to prepare for wildfires in,this post,last week. The first tip:,404,2020-03-22 23:28:37,2020-04-06T06:53:57Z,
815,14,https://www.iii.org/insuranceindustryblog/2017/08/page/3/,"August | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",266,40,https://www.swissre.com/rethinking/climate_and_natural_disaster_risk/hurricane_andrew_20_miles_saved_miami.html,Dofollow,"monstrous storm approaches, Swiss Re has released a report called",Hurricane Andrew: The 20 miles that saved Miami,. The report speculates what would happen if an Andrew,404,2020-03-21 18:25:18,2020-04-06T06:53:57Z,
816,14,https://www.iii.org/insuranceindustryblog/pride-month/,"Pride Month | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,26,https://www.hrc.org/11147.htm,Dofollow,in the seventh annual Corporate Equality index published by the,Human Rights Campaign Foundation (HRC),last September . The Index rates employers based on their,404,2020-03-27 12:25:28,2020-03-25T19:50:58Z,
817,14,https://www.iii.org/insuranceindustryblog/tag/hacking/,"Hacking | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",249,18,https://www.facc.com/en/News/News-Press/EANS-Tip-Announcement-FACC-AG-Quarterly-Report3,Dofollow,"is evaluating damages and insurance claims,” FACC added in its",third quarter report,.,404,2020-04-10 15:32:42,2020-03-09T09:13:15Z,
817,14,https://www.iii.org/insuranceindustryblog/tag/hacking/,"Hacking | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",249,18,https://www.facc.com/en/News/News-Press/EANS-Adhoc-FACC-AG-UPDATE-FACC-AG-Cyber-Fraud,Dofollow,the estimated EUR 50 million ($55 million) loss arising from,a cyber fraud incident targeting Austrian air parts supplier FACC AG,made us sit up and take notice.,404,2020-03-27 10:22:40,2020-03-09T09:13:15Z,
818,14,https://www.iii.org/insuranceindustryblog/faster-settlements-make-for-more-satisfied-auto-insurance-claimants/,"Faster Settlements Make for More Satisfied Auto Insurance Claimants | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,6,https://www.jdpower.com/business/content/press-release/cko6adj/2013-u-s-auto-claims-satisfaction-study-wave-1.htm,Dofollow,,"In addition, satisfaction with the claims professional is at an all-time high, indicating that the process is becoming smoother, with more frequent updates throughout contributing to a much more satisfying experience.”",,404,2020-02-24 23:54:35,2020-03-21T13:47:43Z,
819,14,https://www.iii.org/insuranceindustryblog/climate-change-disclosure/,"Climate Change Disclosure | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,15,https://www.allianz.com/en/index.html,Dofollow,Insurers,Allianz,", The Hartford , Travelers and reinsurer",404,2020-04-19 03:49:05,2020-04-16T13:49:55Z,
820,14,https://www.iii.org/insuranceindustryblog/tag/london/,"London | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",239,21,https://www.gccapitalideas.com/2017/01/26/public-sector-risk-financing-perspectives-–-terror-risk-part-i/,Dofollow,"shifting nature of terrorism, according to experts ( here and",here,).,404,2020-04-15 11:20:32,2020-03-15T18:20:43Z,
821,14,https://www.iii.org/insuranceindustryblog/category/environment/page/2/,"Environment | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",277,86,http://markey.house.gov/index.php?option=com_content&task=view&id=3565&Itemid=15,Dofollow,BPA are also pending in a number of other states.,Federal legislation,to ban BPA in all food and beverage containers was,Cannot resolve host,2020-04-13 09:14:09,2020-04-02T17:09:47Z,
821,14,https://www.iii.org/insuranceindustryblog/category/environment/page/2/,"Environment | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",277,86,https://www.instituteforlegalreform.com/component/ilr_media/30/pressrelease/2011/527.html,Dofollow,,"Meanwhile, the president of the U.S. Chamber of Commerce said the ruling against Chevron “runs contrary to the fundamental rule of law.”",,404,2020-03-20 17:43:30,2020-04-02T17:09:47Z,
821,14,https://www.iii.org/insuranceindustryblog/category/environment/page/2/,"Environment | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",277,86,https://earthjustice.org/news/press/2010/fishermen-and-conservationists-sue-u-s-department-of-interior-for-illegal-waivers-of-blowout-and-spill-response-planning-in-gulf-of-mexico-disaster.html,Dofollow,,This case is about lax regulation by the Minerals Management Service. It is actually easier to get a permit for an offshore oil well than for a hot dog stand.Ã¢â‚¬ ,,404,2020-03-17 16:34:10,2020-04-02T17:09:47Z,
821,14,https://www.iii.org/insuranceindustryblog/category/environment/page/2/,"Environment | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",277,86,https://www.fema.gov/news/disaster_totals_annual.fema,Dofollow,,"According to FEMA data, there have been 35 major disaster declarations in 2010 so far",Ã¢â‚¬“ all of which were for various weather-related events. A,404,2020-03-06 03:21:26,2020-04-02T17:09:47Z,
822,14,https://www.iii.org/insuranceindustryblog/category/emerging-risks/page/19/,"Emerging Risks | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 19",238,10,http://www.aceeuropeangroup.com/AceEuropeRoot/,Dofollow,conducted by the Economist Intelligence Unit (EIU) and sponsored by,ACE European Group,(ACE) found that one in three global businesses see loss,404,2020-04-02 20:35:02,2020-03-19T03:58:42Z,
822,14,https://www.iii.org/insuranceindustryblog/category/emerging-risks/page/19/,"Emerging Risks | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 19",238,10,http://www.aceeuropeangroup.com/AceEuropeRoot/Media+Centre/Press+Releases/2007/ACE+Survey+Shows+Data+Loss+Is+Top+Operational+Threat.htm,Dofollow,"data stolen, according to news reports . Indeed, a recent",risk survey,conducted by the Economist Intelligence Unit (EIU) and sponsored by,404,2020-04-01 01:38:19,2020-03-19T03:58:42Z,
823,14,https://www.iii.org/insuranceindustryblog/2007/08/page/2/,"August | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",257,27,https://www.pinger.com/content/company/press/press_releases/pr_08072007.html,Dofollow,from behind the wheel. These are the key findings of,a new survey,conducted by Harris Interactive and commissioned by mobile messaging service,404,2020-03-19 15:04:23,2020-03-13T16:56:17Z,
824,14,https://www.iii.org/insuranceindustryblog/swiss-re-reports-on-catastrophe-losses/,"Swiss Re Reports on Catastrophe Losses | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",242,6,https://www.swissre.com/media/news_releases/nr_20130327_sigma_natcat_2012.html,Dofollow,,Severe crop failures in the U.S. Corn Belt resulted in insured agricultural losses of $11 billion. This makes the 2012 drought the highest ever recorded loss in agriculture insurance history.Ã¢â‚¬ ,,404,2020-04-10 00:19:48,2020-03-25T14:31:25Z,
825,14,https://www.iii.org/insuranceindustryblog/swiss-re-on-first-half-catastrophe-losses/,"Swiss Re on First Half Catastrophe Losses | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",242,6,https://www.swissre.com/media/news_releases/nr_20130821_sigma_natcat_estimates_H1_2013.html,Dofollow,,"Though 2013 has so far been a below-average loss year, the severity of the ongoing North Atlantic hurricane season, and other disasters such as winter storms in Europe, could still increase insured losses for 2013 substantially.Ã¢â‚¬ ",,404,2020-04-08 11:34:37,2020-03-23T13:29:05Z,
826,14,https://www.iii.org/insuranceindustryblog/securities-class-action-filings-decline/,"Securities Class Action Filings Decline | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,6,https://www.dandodiary.com/2009/07/articles/securities-litigation/cornerstone-releases-midyear-2009-securities-litigation-report/,Dofollow,"market volatility, but fellow blogger Kevin LaCroix over at the",D&O Diary,suggests the decline may be more to do with the,404,2020-04-04 01:33:53,2020-03-14T22:29:29Z,
827,14,https://www.iii.org/insuranceindustryblog/2017/02/page/2/,"February | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",245,18,https://disastersafety.org/freezing-weather/last-minute-checklist-for-protecting-homes-and-businesses/,Dofollow,And here’s a handy last minute,winter weather checklist,from the Insurance Institute for Business & Home Safety to help,404,2020-04-13 08:53:04,2020-03-24T03:58:23Z,
827,14,https://www.iii.org/insuranceindustryblog/2017/02/page/2/,"February | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",245,18,https://www.munichre.com/us/weather-resilience-and-protection/rise-weather/weather-events/winter-storm/index.html,Dofollow,"But as insurers and reinsurers will tell you,",the term ‘winter storm’ covers a multitude of hazards,", such as high winds, snow, severe cold, and freezing",404,2020-03-27 22:38:13,2020-03-24T03:58:23Z,
828,14,https://www.iii.org/insuranceindustryblog/raising-liability-limits/,"Raising Liability Limits | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,17,https://www.epa.gov/emergencies/content/learning/oilfund.htm,Dofollow,OPA also created the national,Oil Spill Liability Trust Fund (OSLTF),", which can provide up to $1 billion for any",404,2020-04-06 01:39:23,2020-03-12T07:08:28Z,
829,14,https://www.iii.org/insuranceindustryblog/the-future-of-healthcare-reform/,"The Future of Healthcare Reform | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,10,https://www.joepaduda.com/archives/001727.html,Dofollow,prospects for healthcare reform in two aptly named posts. In,An epitaph for health reform,", Paduda opens: Ã¢â‚¬Å“Ten months of effort was blown away",404,2020-04-05 12:36:18,2020-03-24T03:11:17Z,
829,14,https://www.iii.org/insuranceindustryblog/the-future-of-healthcare-reform/,"The Future of Healthcare Reform | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,10,https://www.joepaduda.com/archives/001728.html,Dofollow,"end to health reform.Ã¢â‚¬  And in the second post,",Why health reform is dead,", Paduda concludes: Ã¢â‚¬Å“No, reform wonÃ¢â‚¬â„¢t happen this year, and",404,2020-03-27 07:37:05,2020-03-24T03:11:17Z,
830,14,https://www.iii.org/insuranceindustryblog/tag/chinese-drywall/,"Chinese Drywall | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",243,40,https://www.cpsc.gov/info/drywall/hud10068.html,Dofollow,Late last week the,Consumer Product Safety Commission (CPSC) and the Department of Housing and Urban Development (HUD) recommended homeowners remove all possible problem Chinese drywall from their homes,because of health and safety concerns related to emissions of,404,2020-04-16 23:05:03,2020-03-21T20:21:57Z,
830,14,https://www.iii.org/insuranceindustryblog/tag/chinese-drywall/,"Chinese Drywall | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",243,40,https://www.cpsc.gov/info/drywall/index.html,Dofollow,"to resolve future cases. As of February 17, 2010, the",U.S. Consumer Product Safety Commission (CPSC),"had received 2,941 incident reports related to drywall from 37",404,2020-03-16 16:58:30,2020-03-21T20:21:57Z,
831,14,https://www.iii.org/insuranceindustryblog/tag/underinsurance/,"Underinsurance | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",236,5,https://www.swissre.com/institute/research/overview/sigma/2_2017.html,Dofollow,"in 2016 – the highest level since 2012, according to the",latest report from Swiss Re sigma,.,404,2020-04-11 10:26:52,2020-03-19T21:21:09Z,
832,14,https://www.iii.org/insuranceindustryblog/pc-industry-profitability-in-recovery-but-still-inadequate/,"P/C Industry Profitability: In Recovery But Still Inadequate | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,6,http://www.iso.com/Press-Releases/2009/PC-INDUSTRYS-NET-INCOME-AND-OVERALL-PROFITABILITY-TUMBLED-IN-FIRST-HALF-2009.html,Dofollow,is apparent in the first-half 2009 results just released by,ISO,and the Property Casualty Insurers Association of America . The,404,2020-03-19 14:59:39,2020-03-20T16:26:57Z,
833,14,https://www.iii.org/insuranceindustryblog/tag/urban-resilience/,"Urban resilience | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,6,https://www.swissre.com/media/news_releases/nr_20130918_mind_the_risk.html,Dofollow,"around the world than any other natural catastrophe, according to",a new report from Swiss Re,.,404,2020-03-18 09:48:02,2020-03-20T18:26:46Z,
834,14,https://www.iii.org/insuranceindustryblog/tag/humberto/,"Humberto | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,10,https://weather.com/news/weather-hurricanes/no-atlantic-hurricanes-through-august-20130821,Dofollow,According to,the Weather Channel,", in addition to 2002Ã¢â‚¬â„¢s Gustav there are two other",404,2020-04-03 11:51:41,2020-03-19T19:54:06Z,
835,14,https://www.iii.org/insuranceindustryblog/catastrophe-risk-funding-challenges/,"Catastrophe Risk Funding Challenges | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,5,https://www.aon.com/reinsurance/reinsurance.jsp,Dofollow,impacted. The report was presented at a conference sponsored by,Aon Benfield,"Australia Limited on the theme of probable maximum loss, frequency",404,2020-03-15 04:09:48,2020-03-12T19:21:59Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,https://www.insurancetech.com/blogs/232800151,Dofollow,,"Even though developed economies do not have the same customer segments, per se, as emerging ones, they too have significant numbers of working poor. The constraints of remote geographies, the working poor’s difficulty in affording insurance, and differing technology infrastructures in emerging markets have led to innovations to and efficiencies in microinsurance schemes that are applicable to ...",,404,2020-04-18 23:00:32,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,http://www.munichre-foundation.org/StiftungsWebsite/Projects/Microinsurance/2010Microinsurance,Dofollow,"Re and Zurich Financial Services . In November 2010, the","sixth International Microinsurance Conference will take place in Manila, Philippines. The event is hosted by the Microinsurance Network and the Munich Re Foundation",. Just last October microinsurance was the main theme for,404,2020-04-11 19:58:15,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,http://www.munichre.com/en/press/press_releases/2009/2009_05_02_press_release.aspx,Dofollow,to individuals in developing countries. For example just last week,Munich Re,announced a pilot project with Indonesian insurer Asuransi Wahana Tata,404,2020-04-10 17:36:24,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,https://www.sesamestreet.org/web/street/parents/topicsandactivities/toolkits/literacy,Dofollow,The IICF Early Literacy Initiative and,Sesame Workshop Partnership,recently launched — ‘Every Day is a Reading and Writing,404,2020-04-01 04:11:13,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,http://www.munichre-foundation.org/StiftungsWebsite/,Dofollow,Microinsurance Innovation Facility of the International Labor Organization (ILO) and,the Munich Re Foundation,.,404,2020-03-28 07:30:22,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,http://www.munichre-foundation.org/StiftungsWebsite/Projects/Microinsurance/2012Microinsurance/Microinsurance_Compendium+Vol+2.htm,Dofollow,The second volume of,"Microinsurance Compendium, Protecting the poor",just published by the two organizations says the number of,404,2020-03-26 19:09:35,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,https://www.marketplace.org/display/web/2010/01/15/pm-haiti-insurance/,Dofollow,A segment on rebuilding Haiti on,NPRÃ¢â‚¬â„¢s Marketplace show Friday,"and featuring I.I.I. president Bob Hartwig , discussed the reasons",404,2020-03-26 05:26:35,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,https://www.iicf.org/news/newsdetails.php?id=138,Dofollow,the special guest speaker at the annual dinner of the,New York division of the Insurance Industry Charitable Foundation (IICF),being held on December 9 at the Waldorf-Astoria Hotel in,404,2020-03-17 21:00:36,2020-04-14T22:58:10Z,
836,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/2/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",279,70,https://www.farmers.com/corporate-giving/joplin/,Dofollow,presented case studies of successes such as the partnership of,Farmers Insurance,"with the Saint Bernard Project to rebuild Joplin, Missouri. The",404,2020-03-11 20:38:03,2020-04-14T22:58:10Z,
837,14,https://www.iii.org/insuranceindustryblog/2009/11/page/2/,"November | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,54,https://plusweb.org/index.cfm/p/Events.EventDetails/eventID/CONF2009,Dofollow,sure to be a hot topic among those attending the,PLUS International Conference in Chicago next week,. I.I.I. president Dr. Robert Hartwig will be speaking at,404,2020-04-14 14:02:16,2020-03-15T13:01:44Z,
837,14,https://www.iii.org/insuranceindustryblog/2009/11/page/2/,"November | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,54,https://www.ciab.com/News/View/tabid/76/smid/376/ArticleID/158/reftab/77/Default.aspx,Dofollow,latest rate surveys from online insurance exchange MarketScout and the,Council of Insurance Agents and Brokers (CIAB),. MarketScout reported the average property/casualty rate decrease was 5,404,2020-04-02 18:39:30,2020-03-15T13:01:44Z,
837,14,https://www.iii.org/insuranceindustryblog/2009/11/page/2/,"November | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,54,https://www.supremecourt.gov/index.html,Dofollow,An important case before the,U.S. Supreme Court,will decide whether state legislatures can limit class actions in,404,2020-04-01 03:15:02,2020-03-15T13:01:44Z,
838,14,https://www.iii.org/insuranceindustryblog/corporate-equality-index/,"Corporate Equality Index | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",240,38,https://www.hrc.org/issues/workplace/cei.htm,Dofollow,the top rating in the 2010 edition of the annual,Corporate Equality Index published by the Human Rights Campaign Foundation (HRC),. The Index rates employers on a scale from 0,404,2020-03-17 10:04:16,2020-03-22T05:08:46Z,
839,14,https://www.iii.org/insuranceindustryblog/medical-mills-drive-up-rates/,"Medical Mills Drive up Rates | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",244,7,https://www.fraudny.com/html/alliance.html,Dofollow,"304 in the first half of 2009, according to the",New York Alliance Against Insurance Fraud (NYAAIF),.,404,2020-03-17 12:42:15,2020-03-26T22:37:37Z,
840,14,https://www.iii.org/insuranceindustryblog/2018/06/page/2/,"June | 2018 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",262,25,https://www.iihs.org/news/detail/legalizing-recreational-marijuana-is-linked-to-increased-crashes,Dofollow,Reminder: Highway Loss Data Institute,research,shows that states that legalized recreational marijuana sales see a,404,2020-03-08 21:24:20,2020-04-11T11:47:33Z,
841,14,https://www.iii.org/insuranceindustryblog/2009/07/page/2/,"July | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,50,https://www.house.gov/apps/list/press/ca35_waters/floodinsuranceHR3139.html,Dofollow,,Legislation,that would extend the National Flood Insurance Program (NFIP) through,404,2020-04-17 21:14:39,2020-03-15T18:30:21Z,
841,14,https://www.iii.org/insuranceindustryblog/2009/07/page/2/,"July | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,50,https://www.cdc.gov/obesity/data/trends.html,Dofollow,"in 2008, up from 25.6 percent in 2007, according to",latest data from the CDCÃ¢â‚¬â„¢s Behavioral Risk Factor Surveillance System (BRFSS),. Not one state showed a significant decrease in obesity,404,2020-04-10 13:49:28,2020-03-15T18:30:21Z,
841,14,https://www.iii.org/insuranceindustryblog/2009/07/page/2/,"July | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",273,50,http://www.iso.com/Products/Property-Claim-Services/Property-Claim-Services-PCS-info-on-losses-from-catastrophes.html,Dofollow,"have averaged about $484 million, based on figures from the",Property Claim Services (PCS) unit of the Insurance Services Office (ISO),. Five of the most severe wildfire events have also,404,2020-04-08 02:23:59,2020-03-15T18:30:21Z,
842,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/3/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",248,40,"https://www.redcross.org/pressrelease/0,1077,0_489_1967,00.html",Dofollow,established an industry-wide campaign to provide needed support to the,American Red Cross Southern California Wildfires Fund,. The IICF is kicking off the campaign with a,404,2020-04-16 00:10:11,2020-04-12T20:19:15Z,
842,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/3/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",248,40,https://www.allianz.com/index.html,Dofollow,"in 2012. Ahead of the Bali meeting, insurers AIG ,",Allianz,", AXA , and Swiss Re were among 150 companies",404,2020-03-23 18:30:10,2020-04-12T20:19:15Z,
842,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/3/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",248,40,https://www.iicf.org/aboutus/divisions.php,Dofollow,"by Martin Sullivan, chairman and CEO of AIG. Visit the",IICF,site for more information.Ã‚,404,2020-03-22 18:37:35,2020-04-12T20:19:15Z,
842,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/3/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",248,40,https://www.aig.com/gateway/home,Dofollow,at,AIG,",",404,2020-03-21 03:02:49,2020-04-12T20:19:15Z,
842,14,https://www.iii.org/insuranceindustryblog/category/corporate-social-responsibility/page/3/,"Corporate Social Responsibility | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",248,40,https://www.iicf.org/club100/,Dofollow,Los Angeles Metro YMCA. Registration can be completed online at,http://www.iicf.org/club100/,. Check out further I.I.I. facts and stats on the,404,2020-03-19 16:46:51,2020-04-12T20:19:15Z,
843,14,https://www.iii.org/insuranceindustryblog/covered-for-employment-practices-liability-epl/,"Covered For Employment Practices Liability? | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",247,13,https://www.chubb.com/corporate/chubb12590.html,Dofollow,The,2010 Chubb Private Company Risk Survey,found that nearly one-half of firms plan to add employees,404,2020-04-16 05:58:43,2020-03-18T06:29:40Z,
844,14,https://www.iii.org/insuranceindustryblog/pride-round-up-2011/,"Pride Round-Up 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,15,http://www3.law.ucla.edu/williamsinstitute/pdf/Census2010Snapshot_Alabama.pdf,Dofollow,"50 states, Washington D.C., and Puerto Rico. New this week:",Alabama,and Hawaii . The 2010 U.S. Census is the first,Cannot resolve host,2020-04-16 15:25:11,2020-03-11T20:28:11Z,
